name,email,phone,date,place,coach,service,status,price,sport,serviceHistory
Anna Larsson,anna.larsson@example.com,0701234567,2024-05-10,Stockholm,Erik Olsson,Membership Standard,Inaktiv,1195,Löpning,"[{""id"":""s1"",""service"":""Tröskeltest"",""price"":1890,""date"":""2024-05-10"",""status"":""Genomförd"",""endDate"":""2024-05-10"",""sport"":""Löpning"",""coach"":""Erik Olsson"",""paymentMethod"":""Swish"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""},{""id"":""s2"",""service"":""Membership Standard"",""price"":1195,""date"":""2024-06-15"",""status"":""Inaktiv"",""endDate"":""2024-10-15"",""sport"":""Löpning"",""coach"":""Erik Olsson"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":4}]"
Marcus Berg,marcus.berg@example.com,0702345678,2024-09-20,Stockholm,Erik Olsson,Membership Premium,Aktiv,2195,Cykel,
Sara Nilsson,sara.nilsson@example.com,0703456789,2024-11-01,Göteborg,Johan Hasselmark,Membership Standard TRI/OCR/MULTI,Aktiv,1295,Multisport,
Erik Andersson,erik.andersson@example.com,0704567890,2024-08-10,Malmö,Gabriel Sandör,Tröskeltest,Genomförd,1890,Löpning,"[{""id"":""s3"",""service"":""Tröskeltest"",""price"":1890,""date"":""2024-08-10"",""status"":""Genomförd"",""endDate"":""2024-08-10"",""sport"":""Löpning"",""coach"":""Gabriel Sandör"",""paymentMethod"":""Swish"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""},{""id"":""s4"",""service"":""VO2max fristående"",""price"":1390,""date"":""2024-09-05"",""status"":""Genomförd"",""endDate"":""2024-09-05"",""sport"":""Löpning"",""coach"":""Gabriel Sandör"",""paymentMethod"":""Faktura"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""}]"
Lisa Johansson,lisa.johansson@example.com,0705678901,2024-07-01,Stockholm,Jenny Nae,Membership Premium TRI/OCR/MULTI,Pausad,2295,Triathlon,"[{""id"":""s5"",""service"":""Membership Standard"",""price"":1195,""date"":""2024-07-01"",""status"":""Inaktiv"",""endDate"":""2024-10-31"",""sport"":""Triathlon"",""coach"":""Jenny Nae"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":4},{""id"":""s6"",""service"":""Membership Premium TRI/OCR/MULTI"",""price"":2295,""date"":""2024-11-01"",""status"":""Pausad"",""sport"":""Triathlon"",""coach"":""Jenny Nae"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Väntar på betalning"",""billingInterval"":""Månadsvis"",""numberOfMonths"":2}]"
Emma Svensson,emma.svensson@example.com,0706789012,2024-06-15,Linköping,Andreas Nilsson,Membership Supreme,Inaktiv,3295,Löpning,"[{""id"":""s7"",""service"":""Tröskeltest + VO2max"",""price"":2490,""date"":""2024-06-15"",""status"":""Genomförd"",""endDate"":""2024-06-15"",""sport"":""Löpning"",""coach"":""Andreas Nilsson"",""paymentMethod"":""Swish"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""},{""id"":""s8"",""service"":""Membership Supreme"",""price"":3295,""date"":""2024-07-05"",""status"":""Inaktiv"",""endDate"":""2024-08-05"",""sport"":""Löpning"",""coach"":""Andreas Nilsson"",""paymentMethod"":""Faktura"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":1}]"
David Karlsson,david.karlsson@example.com,0707890123,2024-05-25,Falun,Johan Nielsen,Membership BAS,Inaktiv,995,Cykel,
Maria Lindqvist,maria.lindqvist@example.com,0708901234,2024-10-20,Åre,Jenny Nae,Membership Aktivitus Iform 4 mån,Aktiv,1998,Multisport,
Petter Lundberg,petter.lundberg@example.com,0709012345,2024-10-12,Stockholm,Erik Olsson,Membership Standard,Aktiv,1195,Löpning,
Julia Bergström,julia.bergstrom@example.com,0710123456,2024-08-10,Göteborg,Johan Hasselmark,Tröskeltest + VO2max,Genomförd,2490,Cykel,"[{""id"":""s9"",""service"":""Tröskeltest"",""price"":1890,""date"":""2024-08-10"",""status"":""Genomförd"",""endDate"":""2024-08-10"",""sport"":""Cykel"",""coach"":""Johan Hasselmark"",""paymentMethod"":""Swish"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""},{""id"":""s10"",""service"":""Tröskeltest + VO2max"",""price"":2490,""date"":""2024-08-28"",""status"":""Genomförd"",""endDate"":""2024-08-28"",""sport"":""Cykel"",""coach"":""Johan Hasselmark"",""paymentMethod"":""Faktura"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""}]"
Fredrik Holm,fredrik.holm@example.com,0711234567,2024-10-18,Malmö,Gabriel Sandör,Membership Premium,Aktiv,2195,Löpning,
Sofia Ek,sofia.ek@example.com,0712345678,2024-10-01,Stockholm,Jenny Nae,Membership Supreme TRI/OCR/MULTI,Aktiv,3395,Triathlon,
Henrik Lindgren,henrik.lindgren@example.com,0713456789,2024-06-22,Linköping,Andreas Nilsson,Membership Standard,Inaktiv,1195,Löpning,"[{""id"":""s11"",""service"":""Membership Standard"",""price"":1195,""date"":""2024-06-22"",""status"":""Inaktiv"",""endDate"":""2024-10-22"",""sport"":""Löpning"",""coach"":""Andreas Nilsson"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":4}]"
Amanda Persson,amanda.persson@example.com,0714567890,2024-09-08,Falun,Johan Nielsen,Funktionsanalys,Genomförd,1790,Löpning,
Jonas Sandberg,jonas.sandberg@example.com,0715678901,2024-10-25,Stockholm,Erik Olsson,Membership Premium TRI/OCR/MULTI,Aktiv,2295,Multisport,
Ida Forsberg,ida.forsberg@example.com,0716789012,2024-08-30,Göteborg,Johan Hasselmark,Membership Standard,Pausad,1195,Cykel,"[{""id"":""s12"",""service"":""Membership Standard"",""price"":1195,""date"":""2024-08-30"",""status"":""Pausad"",""sport"":""Cykel"",""coach"":""Johan Hasselmark"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Väntar på betalning"",""billingInterval"":""Månadsvis"",""numberOfMonths"":4}]"
Martin Jansson,martin.jansson@example.com,0717890123,2024-10-15,Malmö,Gabriel Sandör,Membership Aktivitus Iform 4 mån,Aktiv,1998,Multisport,
Hanna Lindqvist,hanna.lindqvist@example.com,0718901234,2024-06-15,Stockholm,Jenny Nae,Tröskeltest Triathlon,Genomförd,2690,Triathlon,"[{""id"":""s13"",""service"":""Tröskeltest"",""price"":1890,""date"":""2024-06-15"",""status"":""Genomförd"",""endDate"":""2024-06-15"",""sport"":""Triathlon"",""coach"":""Jenny Nae"",""paymentMethod"":""Swish"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""},{""id"":""s14"",""service"":""Tröskeltest Triathlon"",""price"":2690,""date"":""2024-07-03"",""status"":""Genomförd"",""endDate"":""2024-07-03"",""sport"":""Triathlon"",""coach"":""Jenny Nae"",""paymentMethod"":""Faktura"",""invoiceStatus"":""Betald"",""billingInterval"":""Engångsbetalning""}]"
Andreas Bergman,andreas.bergman@example.com,0719012345,2024-09-18,Linköping,Andreas Nilsson,Membership Premium,Aktiv,2195,Löpning,
Malin Strömberg,malin.stromberg@example.com,0720123456,2024-03-01,Falun,Johan Nielsen,Membership Supreme,Inaktiv,3295,Cykel,"[{""id"":""s15"",""service"":""Membership Premium"",""price"":2195,""date"":""2024-03-01"",""status"":""Inaktiv"",""endDate"":""2024-05-01"",""sport"":""Cykel"",""coach"":""Johan Nielsen"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":2},{""id"":""s16"",""service"":""Membership Supreme"",""price"":3295,""date"":""2024-05-22"",""status"":""Inaktiv"",""endDate"":""2024-06-22"",""sport"":""Cykel"",""coach"":""Johan Nielsen"",""paymentMethod"":""Faktura"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":1}]"
Niklas Dahl,niklas.dahl@example.com,0721234567,2024-10-07,Stockholm,Erik Olsson,Membership Standard TRI/OCR/MULTI,Aktiv,1295,OCR,
Patrik Lund,patrik.lund@example.com,0722345678,2024-08-24,Göteborg,Johan Hasselmark,Tröskeltest,Genomförd,1890,Löpning,
Stefan Andersson,stefan.andersson@example.com,0723456789,2024-10-11,Malmö,Gabriel Sandör,Membership Premium,Aktiv,2195,Cykel,
Mikael Bergström,mikael.bergstrom@example.com,0724567890,2024-05-15,Stockholm,Jenny Nae,Membership Supreme TRI/OCR/MULTI,Inaktiv,3395,Triathlon,"[{""id"":""s17"",""service"":""Membership Premium TRI/OCR/MULTI"",""price"":2295,""date"":""2024-05-15"",""status"":""Inaktiv"",""endDate"":""2024-07-15"",""sport"":""Triathlon"",""coach"":""Jenny Nae"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":2},{""id"":""s18"",""service"":""Membership Supreme TRI/OCR/MULTI"",""price"":3395,""date"":""2024-07-27"",""status"":""Inaktiv"",""endDate"":""2024-08-27"",""sport"":""Triathlon"",""coach"":""Jenny Nae"",""paymentMethod"":""Faktura"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":1}]"
Oskar Lindholm,oskar.lindholm@example.com,0725678901,2024-10-16,Linköping,Andreas Nilsson,Membership Standard,Aktiv,1195,Löpning,
Tobias Ekström,tobias.ekstrom@example.com,0726789012,2024-09-19,Falun,Johan Nielsen,VO2max fristående,Genomförd,1390,Cykel,
Emil Johansson,emil.johansson@example.com,0727890123,2024-10-04,Åre,Jenny Nae,Membership Premium TRI/OCR/MULTI,Aktiv,2295,Multisport,
Alexander Nilsson,alexander.nilsson@example.com,0728901234,2024-06-21,Stockholm,Erik Olsson,Membership Aktivitus Iform 4 mån,Inaktiv,1998,Multisport,
David Larsson,david.larsson@example.com,0729012345,2024-09-26,Göteborg,Johan Hasselmark,Membership Standard,Aktiv,1195,Löpning,
Christian Berg,christian.berg@example.com,0730123456,2024-08-13,Malmö,Gabriel Sandör,Funktions- och löpteknikanalys,Genomförd,2290,Löpning,
Mattias Persson,mattias.persson@example.com,0731234567,2024-09-29,Stockholm,Jenny Nae,Membership Supreme,Aktiv,3295,Cykel,
Per Lindqvist,per.lindqvist@example.com,0732345678,2024-10-06,Linköping,Andreas Nilsson,Membership Premium,Aktiv,2195,Löpning,
Lars Sandberg,lars.sandberg@example.com,0733456789,2024-07-17,Falun,Johan Nielsen,Tröskeltest + VO2max,Genomförd,2490,Cykel,
Björn Forsberg,bjorn.forsberg@example.com,0734567890,2024-09-21,Åre,Jenny Nae,Membership Standard TRI/OCR/MULTI,Aktiv,1295,Multisport,
Ludvig Jansson,ludvig.jansson@example.com,0735678901,2024-10-09,Stockholm,Erik Olsson,Membership Aktivitus Iform 4 mån,Aktiv,1998,Multisport,
Rasmus Bergman,rasmus.bergman@example.com,0736789012,2024-06-23,Göteborg,Johan Hasselmark,Membership Premium TRI/OCR/MULTI,Inaktiv,2295,Triathlon,"[{""id"":""s19"",""service"":""Membership Premium TRI/OCR/MULTI"",""price"":2295,""date"":""2024-06-23"",""status"":""Inaktiv"",""endDate"":""2024-08-23"",""sport"":""Triathlon"",""coach"":""Johan Hasselmark"",""paymentMethod"":""Autogiro"",""invoiceStatus"":""Betald"",""billingInterval"":""Månadsvis"",""numberOfMonths"":2}]"
Sebastian Strömberg,sebastian.stromberg@example.com,0737890123,2024-10-14,Malmö,Gabriel Sandör,Membership Standard,Aktiv,1195,Löpning,
Filip Ek,filip.ek@example.com,0738901234,2024-08-02,Stockholm,Jenny Nae,Tröskeltest Triathlon + VO2max,Genomförd,3290,Triathlon,
Gustav Lundberg,gustav.lundberg@example.com,0739012345,2024-05-17,Linköping,Andreas Nilsson,Membership Supreme TRI/OCR/MULTI,Inaktiv,3395,Multisport,
Viktor Lindgren,viktor.lindgren@example.com,0740123456,2024-10-19,Falun,Johan Nielsen,Membership Premium,Aktiv,2195,Cykel,
Isak Andersson,isak.andersson@example.com,0741234567,2024-07-16,Åre,Jenny Nae,Membership BAS,Inaktiv,995,Löpning,
Hugo Bergström,hugo.bergstrom@example.com,0742345678,2024-10-24,Stockholm,Erik Olsson,Membership Standard,Aktiv,1195,Löpning,
Noah Johansson,noah.johansson@example.com,0743456789,2024-09-01,Göteborg,Johan Hasselmark,Teknikanalys,Genomförd,1290,Cykel,
Lucas Nilsson,lucas.nilsson@example.com,0744567890,2024-08-14,Malmö,Gabriel Sandör,Membership Premium TRI/OCR/MULTI,Aktiv,2295,Multisport,
William Larsson,william.larsson@example.com,0745678901,2024-10-23,Stockholm,Jenny Nae,Membership Supreme,Aktiv,3295,Löpning,
Elias Berg,elias.berg@example.com,0746789012,2024-06-12,Linköping,Andreas Nilsson,Membership Aktivitus Iform 4 mån,Inaktiv,1998,Multisport,
Axel Sandberg,axel.sandberg@example.com,0747890123,2024-10-05,Falun,Johan Nielsen,Membership Standard TRI/OCR/MULTI,Aktiv,1295,OCR,
Olle Forsberg,olle.forsberg@example.com,0748901234,2024-08-28,Åre,Jenny Nae,Tröskeltest,Genomförd,1890,Löpning,
Liam Jansson,liam.jansson@example.com,0749012345,2024-10-12,Stockholm,Erik Olsson,Membership Premium,Aktiv,2195,Cykel,
Benjamin Bergman,benjamin.bergman@example.com,0750123456,2024-07-25,Göteborg,Johan Hasselmark,Membership Supreme TRI/OCR/MULTI,Inaktiv,3395,Triathlon,
Oliver Strömberg,oliver.stromberg@example.com,0751234567,2024-10-08,Malmö,Gabriel Sandör,Funktionsanalys,Genomförd,1790,Löpning,
Adrian Ek,adrian.ek@example.com,0752345678,2024-09-30,Stockholm,Jenny Nae,Membership Standard,Aktiv,1195,Cykel,
Melvin Lundberg,melvin.lundberg@example.com,0753456789,2024-10-15,Linköping,Andreas Nilsson,Membership Premium TRI/OCR/MULTI,Aktiv,2295,Multisport,
Vincent Lindgren,vincent.lindgren@example.com,0754567890,2024-06-22,Falun,Johan Nielsen,Membership Aktivitus Iform 4 mån,Inaktiv,1998,Multisport,
Theo Andersson,theo.andersson@example.com,0755678901,2024-10-18,Åre,Jenny Nae,Membership BAS,Aktiv,995,Löpning,
Elliot Bergström,elliot.bergstrom@example.com,0756789012,2024-08-19,Stockholm,Erik Olsson,Tröskeltest + VO2max,Genomförd,2490,Cykel,
Anton Johansson,anton.johansson@example.com,0757890123,2024-10-11,Göteborg,Johan Hasselmark,Membership Supreme,Aktiv,3295,Löpning,
Isac Nilsson,isac.nilsson@example.com,0758901234,2024-07-26,Malmö,Gabriel Sandör,Membership Standard TRI/OCR/MULTI,Inaktiv,1295,Multisport,
Hampus Larsson,hampus.larsson@example.com,0759012345,2024-10-03,Stockholm,Jenny Nae,Membership Premium,Aktiv,2195,Cykel,
Linus Berg,linus.berg@example.com,0760123456,2024-09-24,Linköping,Andreas Nilsson,VO2max fristående,Genomförd,1390,Cykel,
Nils Sandberg,nils.sandberg@example.com,0761234567,2024-10-16,Falun,Johan Nielsen,Membership Supreme TRI/OCR/MULTI,Aktiv,3395,Triathlon,
Vilgot Forsberg,vilgot.forsberg@example.com,0762345678,2024-05-17,Åre,Jenny Nae,Membership Standard,Inaktiv,1195,Löpning,
Love Jansson,love.jansson@example.com,0763456789,2024-10-09,Stockholm,Erik Olsson,Membership Aktivitus Iform 4 mån,Aktiv,1998,Multisport,
Sixten Bergman,sixten.bergman@example.com,0764567890,2024-08-21,Göteborg,Johan Hasselmark,Tröskeltest Triathlon,Genomförd,2690,Triathlon,
Joel Strömberg,joel.stromberg@example.com,0765678901,2024-10-07,Malmö,Gabriel Sandör,Membership Premium TRI/OCR/MULTI,Aktiv,2295,Multisport,
Elin Andersson,elin.andersson@example.com,0766789012,2024-09-29,Stockholm,Jenny Nae,Membership Standard,Aktiv,1195,Cykel,
Maja Bergström,maja.bergstrom@example.com,0767890123,2024-07-13,Linköping,Andreas Nilsson,Funktions- och löpteknikanalys,Genomförd,2290,Löpning,
Alice Johansson,alice.johansson@example.com,0768901234,2024-09-18,Falun,Johan Nielsen,Membership Supreme,Aktiv,3295,Cykel,
Klara Nilsson,klara.nilsson@example.com,0769012345,2024-10-20,Åre,Jenny Nae,Membership Premium,Aktiv,2195,Löpning,
Ellen Larsson,ellen.larsson@example.com,0770123456,2024-06-15,Stockholm,Erik Olsson,Membership Standard TRI/OCR/MULTI,Inaktiv,1295,OCR,
Moa Berg,moa.berg@example.com,0771234567,2024-10-04,Göteborg,Johan Hasselmark,Membership Aktivitus Iform 4 mån,Aktiv,1998,Multisport,
Ella Sandberg,ella.sandberg@example.com,0772345678,2024-08-27,Malmö,Gabriel Sandör,Tröskeltest,Genomförd,1890,Löpning,
Maya Forsberg,maya.forsberg@example.com,0773456789,2024-10-14,Stockholm,Jenny Nae,Membership Premium TRI/OCR/MULTI,Aktiv,2295,Multisport,
Alma Jansson,alma.jansson@example.com,0774567890,2024-07-20,Linköping,Andreas Nilsson,Membership Supreme TRI/OCR/MULTI,Inaktiv,3395,Triathlon,
Elsa Bergman,elsa.bergman@example.com,0775678901,2024-10-06,Falun,Johan Nielsen,Membership Standard,Aktiv,1195,Löpning,
Agnes Strömberg,agnes.stromberg@example.com,0776789012,2024-09-23,Åre,Jenny Nae,Teknikanalys,Genomförd,1290,Cykel,
Mira Ek,mira.ek@example.com,0777890123,2024-10-17,Stockholm,Erik Olsson,Membership Premium,Aktiv,2195,Löpning,
Lova Lundberg,lova.lundberg@example.com,0778901234,2024-05-11,Göteborg,Johan Hasselmark,Membership Supreme,Inaktiv,3295,Cykel,
Selma Lindgren,selma.lindgren@example.com,0779012345,2024-10-10,Malmö,Gabriel Sandör,Membership BAS,Aktiv,995,Löpning,
Tilde Andersson,tilde.andersson@example.com,0780123456,2024-08-16,Stockholm,Jenny Nae,Tröskeltest + VO2max,Genomförd,2490,Cykel,
Liv Bergström,liv.bergstrom@example.com,0781234567,2024-10-21,Linköping,Andreas Nilsson,Membership Standard TRI/OCR/MULTI,Aktiv,1295,Multisport,
Saga Johansson,saga.johansson@example.com,0782345678,2024-07-13,Falun,Johan Nielsen,Membership Premium TRI/OCR/MULTI,Inaktiv,2295,Multisport,
Tyra Nilsson,tyra.nilsson@example.com,0783456789,2024-10-08,Åre,Jenny Nae,Membership Supreme,Aktiv,3295,Löpning,
Wilma Larsson,wilma.larsson@example.com,0784567890,2024-09-30,Stockholm,Erik Olsson,Funktionsanalys,Genomförd,1790,Löpning,
Nellie Berg,nellie.berg@example.com,0785678901,2024-10-02,Göteborg,Johan Hasselmark,Membership Aktivitus Iform 4 mån,Aktiv,1998,Multisport,
Elvira Sandberg,elvira.sandberg@example.com,0786789012,2024-06-25,Malmö,Gabriel Sandör,Membership Standard,Inaktiv,1195,Cykel,
